WMSREC    O 20210311105437PUMA                CN   Receipt Outbound                                  
RECHDA          3400575731                              PUMA           20210223073501105_1050052                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  D6001                                                                                                                                                                                                                                                                                                   
RECDTA3400575731          000010                             354367220170                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00010                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000020                             369771020210                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00020                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000030                             374666010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00030                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000040                             757278020140                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00040                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000050                             380196010150                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00050                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000060                             083526010100                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00060                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000070                             194454020270                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00070                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000080                             530614010130                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00080                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000090                             585107020130                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00090                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000100                             585403020160                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00100                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000110                             373386010240                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00110                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000120                             907904010110                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00120                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000130                             530709010120                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00130                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000140                             598258010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00140                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000150                             598261010130                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00150                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000160                             375516010260                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00160                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000170                             531361700160                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00170                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000180                             531411010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00180                                                                                                                                                                                                                                                                                 
RECDTA3400575731          000190                             935094010100                                    1                                                                                                                                                                                                                                                                                                                                                               3700574907                    00190                                                                                                                                                                                                                                                                                 
RECTR0000000020
