WMSREC    O 20210315104846PUMA                CN   Receipt Outbound                                  
RECHDA          3400576198                              PUMA           2021022402314575_750023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    D6001                                                                                                                                                                                                                                                                                                   
RECDTA3400576198          000010                             356722110230                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00010                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000020                             356722020230                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00020                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000030                             356722110150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00030                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000040                             593054010160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00040                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000050                             361730010200                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00050                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000060                             369155010210                                    2                                                                                                                                                                                                                                                                                                                                                               3700575374                    00060                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000070                             354367220140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00070                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000080                             845160060140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00080                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000090                             845165060140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00090                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000100                             021912020120                                    2                                                                                                                                                                                                                                                                                                                                                               3700575374                    00100                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000110                             366487120140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00110                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000120                             366487120170                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00120                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000130                             366487120180                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00130                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000140                             853637150140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00140                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000150                             853633150140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00150                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000160                             356722250200                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00160                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000170                             356722250240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00170                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000180                             356722230230                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00180                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000190                             369863050240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00190                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000200                             366416030160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00200                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000210                             366488030150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00210                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000220                             022374010120                                    2                                                                                                                                                                                                                                                                                                                                                               3700575374                    00220                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000230                             370325070150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00230                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000240                             041612010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00240                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000250                             364977020240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00250                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000260                             580879010130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00260                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000270                             581037010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00270                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000280                             580566020130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00280                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000290                             372611010270                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00290                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000300                             370546010240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00300                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000310                             581027520140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00310                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000320                             853639010130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00320                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000330                             596873510130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00330                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000340                             581619510120                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00340                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000350                             372595010150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00350                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000360                             598236010130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00360                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000370                             598236010150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00370                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000380                             371498020240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00380                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000390                             371195020180                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00390                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000400                             371584010240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00400                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000410                             371766010210                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00410                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000420                             371986010240                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00420                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000430                             597471010150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00430                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000440                             581637010150                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00440                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000450                             596533010160                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00450                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000460                             581638010140                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00460                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000470                             580823060130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00470                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000480                             371135040230                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00480                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000490                             595907920130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00490                                                                                                                                                                                                                                                                                 
RECDTA3400576198          000500                             845676010130                                    1                                                                                                                                                                                                                                                                                                                                                               3700575374                    00500                                                                                                                                                                                                                                                                                 
RECTR0000000051
